sample_name,activity,station,activity_log,sex,species,length_cm,weight_g,collection_date,time_stamp,day,hour,x,y,age_years,grain_um,vms_SAR,condition_factor
M_001,1.2.,19,SOL791_1-2 7m+3m Kurre,M,Limanda_limanda,20.5,81.02,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,4,251.9029635,1.095690738,0.940439053
M_002,1.2.,19,SOL791_1-2 7m+3m Kurre,F,Limanda_limanda,20.5,76.86,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,5,251.9029635,1.095690738,0.892151884
M_003,1.2.,19,SOL791_1-2 7m+3m Kurre,M,Pleuronectes_platessa,16,35.05,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,1,251.9029635,1.095690738,0.855712891
M_004,1.2.,19,SOL791_1-2 7m+3m Kurre,F,Pleuronectes_platessa,14.5,27.02,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,1,251.9029635,1.095690738,0.886301201
M_005,1.2.,19,SOL791_1-2 7m+3m Kurre,F,Buglossidium_luteum,10.1,11.52,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,6,251.9029635,1.095690738,1.11811985
M_006,1.2.,19,SOL791_1-2 7m+3m Kurre,F,Buglossidium_luteum,9.8,9.92,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,5,251.9029635,1.095690738,1.053982609
M_007,1.2.,19,SOL791_1-2 7m+3m Kurre,F,Buglossidium_luteum,10.5,11.59,07.05.21,05:46:32,1,5.77,7.933333333,54.53333333,3,251.9029635,1.095690738,1.001187777
M_057,6.1.,35,SOL791_6-1 7m+3m Kurre,M,Buglossidium_luteum,8.7,6.83,07.05.21,10:09:28,1,10.15,7.616666667,54.58333333,6,261.2530889,0.496261176,1.037201045
M_058,6.1.,35,SOL791_6-1 7m+3m Kurre,F,Buglossidium_luteum,8.8,9.45,07.05.21,10:09:28,1,10.15,7.616666667,54.58333333,3,261.2530889,0.496261176,1.386704076
M_059,6.1.,35,SOL791_6-1 7m+3m Kurre,F,Buglossidium_luteum,10.2,13.23,07.05.21,10:09:28,1,10.15,7.616666667,54.58333333,5,261.2530889,0.496261176,1.246692449
M_060,6.1.,35,SOL791_6-1 7m+3m Kurre,M,Limanda_limanda,13.7,23.16,07.05.21,10:09:28,1,10.15,7.616666667,54.58333333,2,261.2530889,0.496261176,0.900693137
M_061,6.1.,35,SOL791_6-1 7m+3m Kurre,F,Limanda_limanda,15.9,38.01,07.05.21,10:09:28,1,10.15,7.616666667,54.58333333,2,261.2530889,0.496261176,0.945597895
M_062,6.1.,35,SOL791_6-1 7m+3m Kurre,M,Pleuronectes_platessa,14.7,32.91,07.05.21,10:09:28,1,10.15,7.616666667,54.58333333,1,261.2530889,0.496261176,1.036038461
M_159,7.1.,1,SOL791_7-1 7m+3m Kurre,M,Buglossidium_luteum,7.4,3.55,07.05.21,11:28:38,1,11.47,7.366666667,54.63333333,3,227.5333619,0.149037042,0.876058674
M_160,7.1.,1,SOL791_7-1 7m+3m Kurre,F,Buglossidium_luteum,9,7.92,07.05.21,11:28:38,1,11.47,7.366666667,54.63333333,3,227.5333619,0.149037042,1.086419753
M_161,7.1.,1,SOL791_7-1 7m+3m Kurre,M,Limanda_limanda,19.7,61.42,07.05.21,11:28:38,1,11.47,7.366666667,54.63333333,3,227.5333619,0.149037042,0.80336172
M_162,7.1.,1,SOL791_7-1 7m+3m Kurre,F,Limanda_limanda,19.5,66.28,07.05.21,11:28:38,1,11.47,7.366666667,54.63333333,6,227.5333619,0.149037042,0.893878858
M_163,7.1.,1,SOL791_7-1 7m+3m Kurre,F,Pleuronectes_platessa,12.9,20.63,07.05.21,11:28:38,1,11.47,7.366666667,54.63333333,1,227.5333619,0.149037042,0.961014847
M_164,7.1.,1,SOL791_7-1 7m+3m Kurre,M,Pleuronectes_platessa,16.6,43.5,07.05.21,11:28:38,1,11.47,7.366666667,54.63333333,1,227.5333619,0.149037042,0.950966007
M_064,8.1.,2,SOL791_8-1 7m+3m Kurre,M,Buglossidium_luteum,7.9,3.9,07.05.21,12:03:57,1,12.07,7.316666667,54.68333333,3,399.0993958,0.120468432,0.791012476
M_066,8.1.,2,SOL791_8-1 7m+3m Kurre,F,Buglossidium_luteum,8.4,6.76,07.05.21,12:03:57,1,12.07,7.316666667,54.68333333,3,399.0993958,0.120468432,1.140535579
M_067,8.1.,2,SOL791_8-1 7m+3m Kurre,M,Limanda_limanda,18.9,63.39,07.05.21,12:03:57,1,12.07,7.316666667,54.68333333,4,399.0993958,0.120468432,0.938934591
M_068,8.1.,2,SOL791_8-1 7m+3m Kurre,F,Limanda_limanda,21,87.47,07.05.21,12:03:57,1,12.07,7.316666667,54.68333333,8,399.0993958,0.120468432,0.944498434
M_069,8.1.,2,SOL791_8-1 7m+3m Kurre,M,Pleuronectes_platessa,17.1,50.99,07.05.21,12:03:57,1,12.07,7.316666667,54.68333333,2,399.0993958,0.120468432,1.019756966
M_070,8.1.,2,SOL791_8-1 7m+3m Kurre,F,Pleuronectes_platessa,20.9,81.47,07.05.21,12:03:57,1,12.07,7.316666667,54.68333333,2,399.0993958,0.120468432,0.892398554
M_147,9.1.,34,SOL791_9-1 7m+3m Kurre,M,Buglossidium_luteum,7.4,4.08,07.05.21,13:21:24,1,13.35,7.183333333,54.55,5,199.858384,0.30603632,1.006850532
M_148,9.1.,34,SOL791_9-1 7m+3m Kurre,F,Buglossidium_luteum,8.2,4.79,07.05.21,13:21:24,1,13.35,7.183333333,54.55,3,199.858384,0.30603632,0.868748277
M_149,9.1.,34,SOL791_9-1 7m+3m Kurre,F,Buglossidium_luteum,8.1,4.85,07.05.21,13:21:24,1,13.35,7.183333333,54.55,3,199.858384,0.30603632,0.912613065
M_150,9.1.,34,SOL791_9-1 7m+3m Kurre,F,Limanda_limanda,17.9,56.2,07.05.21,13:21:24,1,13.35,7.183333333,54.55,4,199.858384,0.30603632,0.979889768
M_151,9.1.,34,SOL791_9-1 7m+3m Kurre,M,Limanda_limanda,18.2,52.82,07.05.21,13:21:24,1,13.35,7.183333333,54.55,6,199.858384,0.30603632,0.876161636
M_152,9.1.,34,SOL791_9-1 7m+3m Kurre,M,Pleuronectes_platessa,14.4,28.15,07.05.21,13:21:24,1,13.35,7.183333333,54.55,1,199.858384,0.30603632,0.942737804
M_153,9.1.,34,SOL791_9-1 7m+3m Kurre,F,Pleuronectes_platessa,14.3,27.67,07.05.21,13:21:24,1,13.35,7.183333333,54.55,1,199.858384,0.30603632,0.946239442
M_092,15.1.,3,SOL791_15-1 7m+3m Kurre,F,Buglossidium_luteum,8.9,6.82,08.05.21,08:07:09,2,8.12,7.4,54.83333333,4,222.8538824,0.109488954,0.967418425
M_093,15.1.,3,SOL791_15-1 7m+3m Kurre,F,Buglossidium_luteum,11,14.34,08.05.21,08:07:09,2,8.12,7.4,54.83333333,8,222.8538824,0.109488954,1.077385424
M_094,15.1.,3,SOL791_15-1 7m+3m Kurre,F,Buglossidium_luteum,9.5,8.22,08.05.21,08:07:09,2,8.12,7.4,54.83333333,5,222.8538824,0.109488954,0.958740341
M_095,15.1.,3,SOL791_15-1 7m+3m Kurre,F,Limanda_limanda,20.2,76.27,08.05.21,08:07:09,2,8.12,7.4,54.83333333,4,222.8538824,0.109488954,0.925336382
M_096,15.1.,3,SOL791_15-1 7m+3m Kurre,M,Limanda_limanda,18,54.18,08.05.21,08:07:09,2,8.12,7.4,54.83333333,4,222.8538824,0.109488954,0.929012346
M_098,15.1.,3,SOL791_15-1 7m+3m Kurre,M,Pleuronectes_platessa,16.1,39.33,08.05.21,08:07:09,2,8.12,7.4,54.83333333,1,222.8538824,0.109488954,0.942423959
M_119,16.1.,5,SOL791_16-1 7m+3m Kurre,F,Buglossidium_luteum,9.2,7.36,08.05.21,08:59:39,2,8.12,7.533333333,54.8,7,231.284422,0.2848144,0.945179584
M_120,16.1.,5,SOL791_16-1 7m+3m Kurre,F,Buglossidium_luteum,10.9,14.3,08.05.21,08:59:39,2,8.12,7.533333333,54.8,5,231.284422,0.2848144,1.104222376
M_121,16.1.,5,SOL791_16-1 7m+3m Kurre,F,Buglossidium_luteum,10.4,13.41,08.05.21,08:59:39,2,8.12,7.533333333,54.8,6,231.284422,0.2848144,1.192144117
M_122,16.1.,5,SOL791_16-1 7m+3m Kurre,M,Limanda_limanda,17.7,47.45,08.05.21,08:59:39,2,8.12,7.533333333,54.8,4,231.284422,0.2848144,0.855689923
M_123,16.1.,5,SOL791_16-1 7m+3m Kurre,F,Limanda_limanda,17.2,44.88,08.05.21,08:59:39,2,8.12,7.533333333,54.8,6,231.284422,0.2848144,0.881997812
M_124,16.1.,5,SOL791_16-1 7m+3m Kurre,M,Pleuronectes_platessa,13.7,23.49,08.05.21,08:59:39,2,8.12,7.533333333,54.8,1,231.284422,0.2848144,0.913526848
M_125,16.1.,5,SOL791_16-1 7m+3m Kurre,F,Pleuronectes_platessa,14.9,32.37,08.05.21,08:59:39,2,8.12,7.533333333,54.8,2,231.284422,0.2848144,0.978551967
M_050,17.1.,7,SOL791_17-1 7m+3m Kurre,F,Buglossidium_luteum,9.4,9.61,08.05.21,10:31:15,2,10.52,7.533333333,54.91666667,5,192.7015392,0.181263433,1.157017231
M_052,17.1.,7,SOL791_17-1 7m+3m Kurre,F,Buglossidium_luteum,9.5,9.64,08.05.21,10:31:15,2,10.52,7.533333333,54.91666667,6,192.7015392,0.181263433,1.124362152
M_053,17.1.,7,SOL791_17-1 7m+3m Kurre,F,Limanda_limanda,20.3,77.77,08.05.21,10:31:15,2,10.52,7.533333333,54.91666667,5,192.7015392,0.181263433,0.929659658
M_054,17.1.,7,SOL791_17-1 7m+3m Kurre,M,Limanda_limanda,19.2,55.68,08.05.21,10:31:15,2,10.52,7.533333333,54.91666667,8,192.7015392,0.181263433,0.786675347
M_055,17.1.,7,SOL791_17-1 7m+3m Kurre,F,Pleuronectes_platessa,22.3,93.37,08.05.21,10:31:15,2,10.52,7.533333333,54.91666667,3,192.7015392,0.181263433,0.84196254
M_056,17.1.,7,SOL791_17-1 7m+3m Kurre,M,Pleuronectes_platessa,21,77.61,08.05.21,10:31:15,2,10.52,7.533333333,54.91666667,3,192.7015392,0.181263433,0.83803045
M_099,22.2.,17,SOL791_22-2 7m+3m Kurre,F,Buglossidium_luteum,11.3,15.09,09.05.21,05:43:15,3,5.72,7.983333333,55,7,286.8423605,0.45193865,1.045812695
M_100,22.2.,17,SOL791_22-2 7m+3m Kurre,F,Buglossidium_luteum,9.8,8.97,09.05.21,05:43:15,3,5.72,7.983333333,55,3,286.8423605,0.45193865,0.953046775
M_101,22.2.,17,SOL791_22-2 7m+3m Kurre,F,Buglossidium_luteum,9.7,9.79,09.05.21,05:43:15,3,5.72,7.983333333,55,4,286.8423605,0.45193865,1.072673345
M_102,22.2.,17,SOL791_22-2 7m+3m Kurre,F,Limanda_limanda,21.5,100.45,09.05.21,05:43:15,3,5.72,7.983333333,55,5,286.8423605,0.45193865,1.010728615
M_103,22.2.,17,SOL791_22-2 7m+3m Kurre,M,Limanda_limanda,21.7,70.09,09.05.21,05:43:15,3,5.72,7.983333333,55,5,286.8423605,0.45193865,0.685925358
M_104,22.2.,17,SOL791_22-2 7m+3m Kurre,M,Pleuronectes_platessa,11.1,12.4,09.05.21,05:43:15,3,5.72,7.983333333,55,1,286.8423605,0.45193865,0.906677313
M_105,22.2.,17,SOL791_22-2 7m+3m Kurre,F,Pleuronectes_platessa,13.7,24.56,09.05.21,05:43:15,3,5.72,7.983333333,55,5,286.8423605,0.45193865,0.955139182
M_154,23.1.,16,SOL791_23-1 7m+3m Kurre,M,Buglossidium_luteum,8.7,6.56,09.05.21,07:18:19,3,7.3,7.65,55.1,6,250.4266492,0.142773737,0.996198954
M_155,23.1.,16,SOL791_23-1 7m+3m Kurre,F,Limanda_limanda,12.9,17.43,09.05.21,07:18:19,3,7.3,7.65,55.1,2,250.4266492,0.142773737,0.811948074
M_156,23.1.,16,SOL791_23-1 7m+3m Kurre,M,Limanda_limanda,20.3,71.08,09.05.21,07:18:19,3,7.3,7.65,55.1,6,250.4266492,0.142773737,0.849687649
M_157,23.1.,16,SOL791_23-1 7m+3m Kurre,F,Pleuronectes_platessa,12.9,20.69,09.05.21,07:18:19,3,7.3,7.65,55.1,1,250.4266492,0.142773737,0.963809849
M_158,23.1.,16,SOL791_23-1 7m+3m Kurre,M,Pleuronectes_platessa,11.6,15.36,09.05.21,07:18:19,3,7.3,7.65,55.1,1,250.4266492,0.142773737,0.984050187
M_085,28.1.,15,SOL791_28-1 7m+3m Kurre,F,Buglossidium_luteum,10.2,11.58,09.05.21,11:23:34,3,11.4,7.333333333,55.1,6,298.1582166,0.104602817,1.091209263
M_086,28.1.,15,SOL791_28-1 7m+3m Kurre,F,Buglossidium_luteum,10.3,11.9,09.05.21,11:23:34,3,11.4,7.333333333,55.1,5,298.1582166,0.104602817,1.089018575
M_087,28.1.,15,SOL791_28-1 7m+3m Kurre,F,Buglossidium_luteum,11.7,18.67,09.05.21,11:23:34,3,11.4,7.333333333,55.1,7,298.1582166,0.104602817,1.165699829
M_088,28.1.,15,SOL791_28-1 7m+3m Kurre,M,Limanda_limanda,17.5,35.21,09.05.21,11:23:34,3,11.4,7.333333333,55.1,6,298.1582166,0.104602817,0.656979592
M_089,28.1.,15,SOL791_28-1 7m+3m Kurre,F,Limanda_limanda,19.1,65.98,09.05.21,11:23:34,3,11.4,7.333333333,55.1,5,298.1582166,0.104602817,0.946917645
M_090,28.1.,15,SOL791_28-1 7m+3m Kurre,M,Pleuronectes_platessa,14.4,29.04,09.05.21,11:23:34,3,11.4,7.333333333,55.1,1,298.1582166,0.104602817,0.972543724
M_091,28.1.,15,SOL791_28-1 7m+3m Kurre,F,Pleuronectes_platessa,18.3,55.88,09.05.21,11:23:34,3,11.4,7.333333333,55.1,2,298.1582166,0.104602817,0.911807433
M_071,29.1.,8,SOL791_29-1 7m+3m Kurre,F,Buglossidium_luteum,8.5,6.16,09.05.21,12:20:00,3,12.33,7.4,55.01666667,4,153.8184004,0.100330895,1.003053124
M_072,29.1.,8,SOL791_29-1 7m+3m Kurre,F,Buglossidium_luteum,11.1,15.71,09.05.21,12:20:00,3,12.33,7.4,55.01666667,7,153.8184004,0.100330895,1.14870166
M_073,29.1.,8,SOL791_29-1 7m+3m Kurre,F,Buglossidium_luteum,11.5,18.76,09.05.21,12:20:00,3,12.33,7.4,55.01666667,8,153.8184004,0.100330895,1.233500452
M_074,29.1.,8,SOL791_29-1 7m+3m Kurre,F,Limanda_limanda,14.2,23.68,09.05.21,12:20:00,3,12.33,7.4,55.01666667,2,153.8184004,0.100330895,0.827021243
M_075,29.1.,8,SOL791_29-1 7m+3m Kurre,M,Limanda_limanda,18.3,49.18,09.05.21,12:20:00,3,12.33,7.4,55.01666667,6,153.8184004,0.100330895,0.802481918
M_076,29.1.,8,SOL791_29-1 7m+3m Kurre,F,Pleuronectes_platessa,17.6,54.17,09.05.21,12:20:00,3,12.33,7.4,55.01666667,2,153.8184004,0.100330895,0.993621161
M_077,29.1.,8,SOL791_29-1 7m+3m Kurre,M,Pleuronectes_platessa,15,31.71,09.05.21,12:20:00,3,12.33,7.4,55.01666667,1,153.8184004,0.100330895,0.939555556
M_179,33.2.,14,SOL791_33-2 7m+3m Kurre,F,Buglossidium_luteum,8.2,4.97,10.05.21,05:42:15,4,5.7,7.183333333,55.01666667,2,136.4751322,0.075721344,0.90139435
M_180,33.2.,14,SOL791_33-2 7m+3m Kurre,M,Limanda_limanda,17,43.57,10.05.21,05:42:15,4,5.7,7.183333333,55.01666667,6,136.4751322,0.075721344,0.886830857
M_181,33.2.,14,SOL791_33-2 7m+3m Kurre,F,Limanda_limanda,18.4,56.24,10.05.21,05:42:15,4,5.7,7.183333333,55.01666667,4,136.4751322,0.075721344,0.902800608
